videoId,category,title
0,{arm","leg","knee"},"고관절돌리기"
1,"","뒤로차기스템_로우"
2,{"arm","waist","elbow"},"부메랑"
3,"","사이드스텝"
4,"","스탠딩 니업"
5,"","어퍼컷펀치"
6,"","우두촙변형"
7,"","크로스 니업"
8,"","T플라이스텝"

